Questão,Resposta do Modelo,Resposta Correta,Resultado
1,a,c,False
2,c,c,True
3,a,d,False
4,b,b,True
5,b,b,True
6,c,c,True
7,b,b,True
8,a,b,False
9,a,a,True
10,a,a,True
11,d,d,True
12,b,b,True
13,d,a,False
14,a,c,False
15,a,b,False
16,b,b,True
17,c,c,True
18,a,b,False
19,a),a,False
20,e,c,False
21,b,b,True
22,c,c,True
23,b,b,True
24,c,c,True
25,c,c,True
26,b,b,True
27,b,b,True
28,b,b,True
29,a,a,True
30,b,b,True
31,e,b,False
32,a,a,True
33,c,c,True
34,b,b,True
35,b,b,True
36,c,c,True
37,c,c,True
38,b,b,True
39,a,b,False
40,b,b,True
41,a,a,True
42,b,b,True
43,a,a,True
44,c,c,True
45,c,c,True
46,b,c,False
47,c,c,True
48,c,c,True
49,b,b,True
50,aumento das emissões,c,False
