Questão,Resposta do Modelo,Resposta Correta,Resultado
1,b,c,False
2,c,c,True
3,d,d,True
4,b,b,True
5,b,b,True
6,c,c,True
7,b,b,True
8,b,b,True
9,b,a,False
10,c,a,False
11,d,d,True
12,b,b,True
13,a,a,True
14,a,c,False
15,b,b,True
16,b,b,True
17,c,c,True
18,b,b,True
19,a,a,True
20,c,c,True
21,b,b,True
22,c,c,True
23,b,b,True
24,c,c,True
25,c,c,True
26,b,b,True
27,b,b,True
28,b,b,True
29,a,a,True
30,b,b,True
31,b,b,True
32,a,a,True
33,c,c,True
34,b,b,True
35,b,b,True
36,c,c,True
37,c,c,True
38,b,b,True
39,a,b,False
40,b,b,True
41,c,a,False
42,b,b,True
43,a,a,True
44,c,c,True
45,c,c,True
46,c,c,True
47,c,c,True
48,c,c,True
49,b,b,True
50,c,c,True
